dataset,strategy,n_seeds,utility_accuracy_test_mean,utility_accuracy_test_std,unlearning_score_mean,unlearning_score_std,forget_confidence_mean_unlearned_mean,forget_confidence_mean_unlearned_std,forget_entropy_mean_unlearned_mean,forget_entropy_mean_unlearned_std,mia_accuracy_unlearned_mean,mia_accuracy_unlearned_std,mia_improvement_mean,mia_improvement_std,js_divergence_mean_mean,js_divergence_mean_std,activation_cosine_similarity_mean,activation_cosine_similarity_std,retrain_fraction_mean,retrain_fraction_std
mnist,exact_retraining,10,0.9884,0.0017,0.0073,0.0015,0.9861,0.0016,0.0435,0.0055,0.5031,0.0054,-0.0025,0.0080,0.0065,0.0010,0.0049,0.0417,0.8000,0.0000
mnist,federated_exact_retraining,10,0.9906,0.0004,0.0044,0.0009,0.9942,0.0004,0.0156,0.0011,0.5017,0.0032,-0.0012,0.0047,0.0031,0.0003,,,,
mnist,sisa,10,0.9875,0.0007,0.0084,0.0011,0.2280,0.0004,2.2323,0.0003,0.5044,0.0027,-0.0038,0.0048,0.3965,0.0004,,,0.2000,0.0000
mnist,distillation,10,0.9866,0.0013,0.0079,0.0004,0.9923,0.0004,0.0206,0.0011,0.5028,0.0055,-0.0054,0.0080,0.0042,0.0004,0.7692,0.0180,0.8000,0.0000
mnist,mf,10,0.3145,0.0764,0.6824,0.0795,0.5621,0.1478,1.2385,0.4188,0.5014,0.0044,-0.0029,0.0065,0.4028,0.0456,0.4287,0.0725,0.0400,0.0000
adult,exact_retraining,10,0.8486,0.0099,-0.0320,0.0052,0.8522,0.0072,0.3181,0.0143,0.4993,0.0207,-0.0027,0.0295,0.0146,0.0028,0.0594,0.0237,0.8000,0.0000
adult,federated_exact_retraining,10,0.8446,0.0208,-0.0322,0.0059,0.8629,0.0033,0.2965,0.0059,0.4957,0.0247,-0.0127,0.0242,0.0149,0.0022,,,,
adult,sisa,10,0.8550,0.0165,-0.0317,0.0049,0.6673,0.0020,0.6252,0.0013,0.4863,0.0276,0.0043,0.0370,0.0508,0.0012,,,0.2000,0.0000
adult,distillation,10,0.8094,0.0183,0.0043,0.0063,0.8403,0.0037,0.3401,0.0050,0.5117,0.0239,-0.0047,0.0349,0.0036,0.0005,0.3490,0.0131,0.8000,0.0000
adult,mf,10,0.8254,0.0172,0.0045,0.0099,0.8647,0.0037,0.2999,0.0070,0.5073,0.0226,-0.0300,0.0420,0.0052,0.0016,0.7945,0.0105,0.0553,0.0000
cifar10,exact_retraining,1,0.7151,0.0000,-0.2106,0.0000,0.7296,0.0000,0.8052,0.0000,0.4965,0.0000,0.0048,0.0000,0.1560,0.0000,0.3797,0.0000,0.8000,0.0000
cifar10,federated_exact_retraining,1,0.4609,0.0000,0.0300,0.0000,0.4155,0.0000,1.5743,0.0000,0.5007,0.0000,0.0068,0.0000,0.0324,0.0000,,,,
cifar10,sisa,1,0.6161,0.0000,-0.1226,0.0000,0.1550,0.0000,2.2823,0.0000,0.4892,0.0000,0.0122,0.0000,0.1569,0.0000,,,0.2000,0.0000
cifar10,distillation,1,0.4520,0.0000,0.0393,0.0000,0.3807,0.0000,1.6302,0.0000,0.4970,0.0000,0.0027,0.0000,0.0147,0.0000,0.6156,0.0000,0.8000,0.0000
cifar10,mf,1,0.1000,0.0000,0.3884,0.0000,0.6270,0.0000,1.1798,0.0000,0.5055,0.0000,-0.0120,0.0000,0.3782,0.0000,0.6075,0.0000,0.0400,0.0000
